Number,Sector Length (m),Sector Radius (m),Total Length (m),Rotation (deg),Mirrored,Closed
56,5.34809778549624,70.60460802085,0,0,0,0
57,3.69412383904921,56.8187446205344,0,0,0,0
58,5.06748784662648,37.770538466114,0,0,0,0
59,4.58588172226928,32.2806349281178,0,0,0,0
60,4.74977649074106,64.3709057486645,0,0,0,0
61,5.44243473201072,398.34431082674,0,0,0,0
62,4.60567247280477,54.7621117107964,0,0,0,0
63,4.33775387406428,566.539307382355,0,0,0,0
64,4.42008183506346,27.0196119903525,0,0,0,0
65,4.82508310686694,66.618492784367,0,0,0,0
66,5.07393116448287,17.8100325863801,0,0,0,0
67,4.26803105533168,11.8324154719547,0,0,0,0
68,4.42358203638304,95.513743033573,0,0,0,0
69,4.13719299821236,13.0603205576959,0,0,0,0
70,4.99412930583986,47.3239939053828,0,0,0,0
71,5.58390660415466,16.6419650041803,0,0,0,0
72,3.7235397409662,18.7212618359395,0,0,0,0
73,4.62268136261827,14.4194671256768,0,0,0,0
74,4.23756753818941,25.9038414916136,0,0,0,0
75,4.60569161492901,21.359700431855,0,0,0,0
76,4.87312307554674,15.0968958207894,0,0,0,0
77,4.81826435609963,41.1775076368576,0,0,0,0
78,4.80054735203191,1438.58824875924,0,0,0,0
79,4.88805263894193,69.1811331179428,0,0,0,0
80,4.8731195998119,71.9967810303061,0,0,0,0
81,4.8005476764535,25.8610142782001,0,0,0,0
82,4.80674207425221,25.8609141565414,0,0,0,0
83,4.80054760035279,16.3005315658322,0,0,0,0
84,4.6056885025526,15.5458533069233,0,0,0,0
85,4.74620642592413,14.8804480201648,0,0,0,0
86,4.39083903033583,13.7173717895076,0,0,0,0
87,4.71526800864342,30.954252462424,0,0,0,0
88,4.66118745171809,14.0517043576094,0,0,0,0
89,4.45126177936459,36.2153687290126,0,0,0,0
90,4.68794765198271,166.964611051682,0,0,0,0
91,4.25124572741743,166.96992820945,0,0,0,0
92,4.68794902452834,468.074176364609,0,0,0,0
93,4.78803295212145,29.6214664523341,0,0,0,0
94,4.84865604495837,19.1622341596669,0,0,0,0
95,5.32155089855934,22.0691581448878,0,0,0,0
96,4.10740244677868,95.5015724404208,0,0,0,0
97,5.50033753186761,19.2249034285676,0,0,0,0
98,3.53803006576396,54.2424580258604,0,0,0,0
99,5.41675498495641,24.4203210729447,0,0,0,0
100,4.01373890613485,21.0386470626256,0,0,0,0
101,4.2375934308796,20.4002859023151,0,0,0,0
102,5.24895518241237,40.1536727811543,0,0,0,0
103,4.18755216450171,15.2585004573013,0,0,0,0
104,4.80679092476936,29.4075675165943,0,0,0,0
105,4.78130234082397,26.0163338005885,0,0,0,0
106,5.12428357013414,22.416321148772,0,0,0,0
107,3.98597496165451,28.3547794317409,0,0,0,0
108,4.44609031105273,32.4353293138707,0,0,0,0
109,5.15069022104882,18.6527512227973,0,0,0,0
110,4.68794780291927,31.3755671154194,0,0,0,0
111,4.42358967407796,29.506192666858,0,0,0,0
112,4.7152723791985,14.1599813852638,0,0,0,0
113,4.27696620560675,16.8004536940185,0,0,0,0
114,5.59453808274623,979.496223889426,0,0,0,0
115,4.70264691438922,23.7765960333124,0,0,0,0
116,4.45126523701447,15.6894316820305,0,0,0,0
117,4.62269361588392,75.1357432254087,0,0,0,0
118,4.41031353021265,39.0495513679526,0,0,0,0
119,4.74621877232153,33.7227940148123,0,0,0,0
120,5.07395479057584,19.830301738223,0,0,0,0
121,4.3377789221081,32.05219593369,0,0,0,0
122,4.95935596516381,70.4802284221773,0,0,0,0
123,4.30577521918701,25.9936330896732,0,0,0,0
124,4.52673829947446,23.09215809521,0,0,0,0
125,5.34812604201909,654.794791436182,0,0,0,0
126,4.4460748461446,35.4337348941164,0,0,0,0
127,4.07349275406671,16.5840188107522,0,0,0,0
128,4.82510062583185,16.0006522918378,0,0,0,0
129,4.87311952135394,74.9485342974571,0,0,0,0
130,4.30576588857525,12.3986442330225,0,0,0,0
131,5.44795534967648,49.0856837040341,0,0,0,0
132,4.80054670912637,51.2709977436422,0,0,0,0
133,4.82720003554232,29.6203510029616,0,0,0,0
134,5.44795748230933,35.0007777442891,0,0,0,0
135,4.10283540122543,39.8820114003337,0,0,0,0
136,5.08684948194411,90.1267636820803,0,0,0,0
137,4.42009715710674,27.8851647597053,0,0,0,0
138,5.58890199872428,60.9817668170574,0,0,0,0
139,4.23756719985852,55.7904619175782,0,0,0,0
140,4.51888499753386,88.1929927503207,0,0,0,0
141,4.7462058204452,71.3551178419534,0,0,0,0
142,4.58589233425016,263.139308074857,0,0,0,0
143,5.20864392522958,80.0514119726332,0,0,0,0
144,4.30894995129961,67.961775218967,0,0,0,0
145,4.74978411167183,440.582492621879,0,0,0,0
146,3.98594113983074,27.7430832626619,0,0,0,0
147,4.58588890444878,68.6799776261891,0,0,0,0
148,5.0023744921823,47.0241982126993,0,0,0,0
149,4.06174964818535,204.844346694639,0,0,0,0
150,4.74977795042173,56.8222603837748,0,0,0,0
151,4.23755846436711,41.4133775531896,0,0,0,0
152,4.76729968566622,75.4441478163111,0,0,0,0
153,4.60566854228898,218.618128833733,0,0,0,0
154,4.6575233806783,218.630235452248,0,0,0,0
155,4.60566676244139,15.3446548953418,0,0,0,0
156,4.08023591167125,57.6135864385362,0,0,0,0
157,4.98779752305074,45.6382560627338,0,0,0,0
158,4.78123800330172,18.838192003371,0,0,0,0
159,4.46305961899998,28.520771824014,0,0,0,0
160,3.98593190305655,15.9802972320889,0,0,0,0
161,3.99254699413314,12.9900133337501,0,0,0,0
