Velocity (m/s),Normal Force (N),Ax (m/s^2),Abx (m/s^2),Gear,RPM,Torque (N-m),Drivetrain Info,Susp Info,Aero Info,Physics Info
19.2747911079253,2829.27349988322,4.25089958865805,15.142958154796,2,0,0,0,0,0,0
19.6252418553421,2830.85991921777,4.2107554644977,15.1766602556827,2,0,0,0,0,0,0
19.9756926027589,2832.47492268449,4.15258962166491,15.2109696016305,2,0,0,0,0,0,0
20.3261433501757,2834.11851028335,4.08473083756578,15.2458861926393,2,0,0,0,0,0,0
20.6765940975925,2835.79068201437,4.02974699953933,15.2814100287091,2,0,0,0,0,0,0
21.0270448450094,2837.49143787755,3.7438041533071,15.3175411098399,3,0,0,0,0,0,0
21.3774955924262,2839.22077787287,3.66371504693958,15.3542794360317,3,0,0,0,0,0,0
21.727946339843,2840.97870200036,3.58295471817024,15.3916250072846,3,0,0,0,0,0,0
22.0783970872598,2842.76521025999,3.49614586171091,15.4295778235985,3,0,0,0,0,0,0
22.4288478346767,2844.58030265179,3.40756627939349,15.4681378849734,3,0,0,0,0,0,0
22.7792985820935,2846.42397917573,3.33635647190066,15.5073051914093,3,0,0,0,0,0,0
23.1297493295103,2848.29623983183,3.29303490770017,15.5470797429063,3,0,0,0,0,0,0
23.4802000769271,2850.19708462008,3.25892563824591,15.5874615394642,3,0,0,0,0,0,0
23.830650824344,2852.12651354049,3.21374352903614,15.6284505810832,3,0,0,0,0,0,0
24.1811015717608,2854.08452659305,3.15994345913058,15.6700468677633,3,0,0,0,0,0,0
24.5315523191776,2856.07112377777,3.10848261933899,15.7122503995043,3,0,0,0,0,0,0
24.8820030665944,2858.08630509464,3.07033295550407,15.7550611763064,3,0,0,0,0,0,0
25.2324538140112,2860.13007054367,2.83265803095455,15.7984791981694,4,0,0,0,0,0,0
25.5829045614281,2862.20242012485,2.76071240079482,15.8425044650935,4,0,0,0,0,0,0
25.9333553088449,2864.30335383818,2.68857404893962,15.8871369770787,4,0,0,0,0,0,0
26.2838060562617,2866.43287168367,2.62739791200406,15.9323767341248,4,0,0,0,0,0,0
26.6342568036785,2868.59097366131,2.58509873080133,15.978223736232,4,0,0,0,0,0,0
26.9847075510954,2870.7776597711,2.55310285511525,16.0246779834002,4,0,0,0,0,0,0
27.3351582985122,2872.99293001305,2.5181168600029,16.0717394756294,4,0,0,0,0,0,0
27.685609045929,2875.23678438716,2.47439619255752,16.1194082129197,4,0,0,0,0,0,0
28.0360597933458,2877.50922289342,2.42720389301948,16.1676841952709,4,0,0,0,0,0,0
28.3865105407626,2879.81024553183,2.38267315315002,16.2165674226832,4,0,0,0,0,0,0
28.7369612881795,2882.13985230239,2.34693716471038,16.2660578951565,4,0,0,0,0,0,0
29.0874120355963,2884.49804320512,2.1394288928384,16.3161556126908,5,0,0,0,0,0,0
29.4378627830131,2886.88481823999,2.09851340048034,16.3668605752862,5,0,0,0,0,0,0
29.7883135304299,2889.30017740702,2.0665464631963,16.4181727829426,5,0,0,0,0,0,0
30.1387642778468,2891.7441207062,2.03459299969648,16.47009223566,5,0,0,0,0,0,0
30.4892150252636,2894.21664813754,1.99601844221329,16.5226189334384,5,0,0,0,0,0,0
30.8396657726804,2896.71775970103,1.9528615052342,16.5757528762778,5,0,0,0,0,0,0
31.1901165200972,2899.24745539668,1.90920094861546,16.6294940641783,5,0,0,0,0,0,0
31.540567267514,2901.80573522448,1.86911553221332,16.6838424971398,5,0,0,0,0,0,0
31.8910180149309,2904.39259918443,1.83668401588402,16.7387981751623,5,0,0,0,0,0,0
32.2414687623477,2907.00804727654,1.68764345286085,16.7943610982458,6,0,0,0,0,0,0
32.5919195097645,2909.65207950081,1.65499000376325,16.8505312663903,6,0,0,0,0,0,0
32.9423702571813,2912.32469585722,1.61675754198726,16.9073086795959,6,0,0,0,0,0,0
33.2928210045982,2915.02589634579,1.57509289569574,16.9646933378625,6,0,0,0,0,0,0
33.643271752015,2917.75568096652,1.53299996514416,17.0226852411901,6,0,0,0,0,0,0
33.9937224994318,2920.5140497194,1.49348265058796,17.0812843895788,6,0,0,0,0,0,0
34.3441732468486,2923.30100260443,1.4595448522826,17.1404907830284,6,0,0,0,0,0,0
34.6946239942655,2926.11653962162,1.43419047048355,17.2003044215391,6,0,0,0,0,0,0
