latitude,longitude,altitude,origin point,rotation angle,mirrored,closed
42.07019,-84.23941,298.18584,,,,
42.070187,-84.239403,298.21632,,,,
42.070187,-84.239403,298.21632,,,,
42.070183,-84.239395,298.2468,,,,
42.070179,-84.239388,298.2468,,,,
42.070179,-84.23938,298.2468,,,,
42.070175,-84.239372,298.2468,,,,
42.070175,-84.239365,298.2468,,,,
42.070175,-84.239365,298.2468,,,,
42.070171,-84.239357,298.27728,,,,
42.070168,-84.239342,298.27728,,,,
42.070168,-84.239342,298.27728,,,,
42.070164,-84.239326,298.27728,,,,
42.070164,-84.239319,298.27728,,,,
42.07016,-84.239319,298.30776,,,,
42.070156,-84.239311,298.30776,,,,
42.070156,-84.239304,298.30776,,,,
42.070152,-84.239296,298.30776,,,,
42.070152,-84.239288,298.33824,,,,
42.070148,-84.239281,298.33824,,,,
42.070145,-84.239273,298.33824,,,,
42.070145,-84.239265,298.33824,,,,
42.070141,-84.239258,298.36872,,,,
42.070137,-84.23925,298.3992,,,,
42.070133,-84.239243,298.3992,,,,
42.070133,-84.239243,298.42968,,,,
42.070129,-84.239235,298.42968,,,,
42.070126,-84.239227,298.46016,,,,
42.070122,-84.23922,298.42968,,,,
42.070118,-84.239212,298.42968,,,,
42.070114,-84.239204,298.42968,,,,
42.07011,-84.239204,298.42968,,,,
42.070107,-84.239197,298.46016,,,,
42.070103,-84.239189,298.46016,,,,
42.070099,-84.239182,298.46016,,,,
42.070095,-84.239174,298.46016,,,,
42.070091,-84.239174,298.46016,,,,
42.070087,-84.239166,298.46016,,,,
42.070084,-84.239166,298.46016,,,,
42.070076,-84.239159,298.46016,,,,
42.070076,-84.239151,298.46016,,,,
42.070072,-84.239143,298.46016,,,,
42.070068,-84.239136,298.46016,,,,
42.070061,-84.239128,298.46016,,,,
42.070057,-84.239128,298.46016,,,,
42.070053,-84.23912,298.42968,,,,
42.070053,-84.23912,298.42968,,,,
42.070049,-84.239113,298.3992,,,,
42.070045,-84.239105,298.36872,,,,
42.070042,-84.239098,298.33824,,,,
42.070038,-84.23909,298.33824,,,,
42.070034,-84.239082,298.30776,,,,
42.070034,-84.239082,298.30776,,,,
42.07003,-84.239075,298.27728,,,,
42.070026,-84.239067,298.27728,,,,
42.070023,-84.239059,298.27728,,,,
42.070023,-84.239052,298.27728,,,,
42.070019,-84.239044,298.27728,,,,
42.070015,-84.239044,298.27728,,,,
42.070015,-84.239037,298.27728,,,,
42.070015,-84.239021,298.27728,,,,
42.070015,-84.239021,298.27728,,,,
42.070011,-84.239006,298.27728,,,,
42.070007,-84.239006,298.27728,,,,
42.070007,-84.238998,298.27728,,,,
42.070004,-84.238991,298.27728,,,,
42.070004,-84.238983,298.27728,,,,
42.07,-84.238976,298.27728,,,,
42.07,-84.238968,298.27728,,,,
42.069996,-84.23896,298.27728,,,,
42.069996,-84.238953,298.27728,,,,
42.069996,-84.238945,298.27728,,,,
42.069992,-84.238937,298.27728,,,,
42.069988,-84.23893,298.27728,,,,
42.069984,-84.238922,298.30776,,,,
42.069984,-84.238922,298.30776,,,,
42.069981,-84.238914,298.30776,,,,
42.069977,-84.238907,298.30776,,,,
42.069973,-84.238899,298.30776,,,,
42.069973,-84.238884,298.33824,,,,
42.069969,-84.238884,298.30776,,,,
42.069965,-84.238876,298.33824,,,,
42.069962,-84.238869,298.33824,,,,
42.069958,-84.238861,298.33824,,,,
42.069954,-84.238861,298.36872,,,,
42.06995,-84.238853,298.36872,,,,
42.069946,-84.238846,298.36872,,,,
42.069942,-84.238846,298.36872,,,,
42.069939,-84.238838,298.36872,,,,
42.069935,-84.238831,298.36872,,,,
42.069931,-84.238823,298.36872,,,,
42.069927,-84.238815,298.36872,,,,
42.06992,-84.238808,298.36872,,,,
42.069916,-84.238808,298.36872,,,,
42.069916,-84.2388,298.36872,,,,
42.069908,-84.2388,298.36872,,,,
42.069904,-84.238792,298.36872,,,,
42.069897,-84.238785,298.36872,,,,
42.069897,-84.238777,298.36872,,,,
42.069893,-84.23877,298.36872,,,,
42.069885,-84.23877,298.36872,,,,
42.069881,-84.238762,298.36872,,,,
42.069878,-84.238754,298.36872,,,,
42.069874,-84.238747,298.3992,,,,
42.06987,-84.238739,298.3992,,,,
42.069866,-84.238731,298.3992,,,,
42.069862,-84.238731,298.3992,,,,
42.069859,-84.238724,298.3992,,,,
42.069855,-84.238724,298.3992,,,,
42.069851,-84.238716,298.42968,,,,
42.069847,-84.238708,298.42968,,,,
42.069847,-84.238708,298.42968,,,,
42.069839,-84.238693,298.42968,,,,
42.069836,-84.238686,298.42968,,,,
42.069836,-84.238686,298.42968,,,,
42.069832,-84.238686,298.42968,,,,
42.069828,-84.238678,298.46016,,,,
42.069824,-84.23867,298.46016,,,,
42.06982,-84.238663,298.46016,,,,
42.069817,-84.238655,298.49064,,,,
42.069817,-84.238655,298.49064,,,,
42.069813,-84.238647,298.49064,,,,
42.069809,-84.238647,298.52112,,,,
42.069805,-84.23864,298.52112,,,,
42.069805,-84.238632,298.52112,,,,
42.069801,-84.238625,298.5516,,,,
42.069798,-84.238625,298.5516,,,,
42.069798,-84.238617,298.5516,,,,
42.069794,-84.238609,298.5516,,,,
42.069794,-84.238609,298.5516,,,,
42.06979,-84.238609,298.5516,,,,
42.069786,-84.238602,298.5516,,,,
42.069782,-84.238594,298.5516,,,,
42.069782,-84.238586,298.5516,,,,
42.069778,-84.238579,298.58208,,,,
42.069778,-84.238571,298.61256,,,,
42.069778,-84.238571,298.61256,,,,
42.069775,-84.238571,298.61256,,,,
