Number,Sector Length (m),Sector Radius (m),Total Length (m),Rotation (deg),Mirrored,Closed
52,6.01670288484644,70.7392135408517,0,0,0,0
53,5.15239686888759,12.1143805829436,0,0,0,0
54,5.87115514942394,8.55012886056195,0,0,0,0
55,5.32117730906754,7.90337480333873,0,0,0,0
56,5.68137178055491,14.2609279952535,0,0,0,0
57,5.14792556145426,70.6816686165195,0,0,0,0
58,4.86778436225234,61.3278585310309,0,0,0,0
59,5.87222172480222,40.5256152688746,0,0,0,0
60,5.47196299895035,17423077.77845,0,0,0,0
61,5.47196487143952,237.339069738088,0,0,0,0
62,6.2561268009764,25.7435200791142,0,0,0,0
63,5.50871849305702,86.2904098989594,0,0,0,0
64,5.92359927229461,1149.4933841483,0,0,0,0
65,5.78833018129467,29.655954365757,0,0,0,0
66,5.07625642412188,22.6941857844031,0,0,0,0
67,5.94880633038849,31.4852591593491,0,0,0,0
68,5.65822003423773,45.0675850461639,0,0,0,0
69,5.38229406958254,26.5840780907517,0,0,0,0
70,5.3041994077181,1533.79125478685,0,0,0,0
71,5.44143880356216,59.9175826205577,0,0,0,0
72,5.85130660298216,109.383775283136,0,0,0,0
73,5.50873484430855,349.462882908659,0,0,0,0
74,5.57663350442652,15.7859031032557,0,0,0,0
75,5.31645153340122,16.3268181187074,0,0,0,0
76,5.04860492939213,19.4358673126949,0,0,0,0
77,5.94882305554665,22.6943034747142,0,0,0,0
78,5.07627092769377,12.1142874233582,0,0,0,0
79,5.72797558350766,9.24738993352305,0,0,0,0
80,5.14795598713937,9.77291593853491,0,0,0,0
81,4.89714409955684,13.0590368794452,0,0,0,0
82,6.03474816516842,20.0202981768112,0,0,0,0
83,5.0387596573305,16.2755441334164,0,0,0,0
84,4.91475906404355,14.3865980811259,0,0,0,0
85,5.07628009672663,22.694421847906,0,0,0,0
86,5.94884103542313,50.9796731753743,0,0,0,0
87,5.47200818508901,76.7636399153649,0,0,0,0
88,5.65825039133119,3610767.51982409,0,0,0,0
89,5.65825327882612,50.9565099330393,0,0,0,0
90,6.04925801656361,400.813639681874,0,0,0,0
91,6.11115430885013,5048.67741800096,0,0,0,0
92,5.31380097835194,132.876582683065,0,0,0,0
93,5.57488692093239,138.767574793945,0,0,0,0
94,6.11115994515444,113.736599827449,0,0,0,0
95,5.50876240837795,36.0446791214982,0,0,0,0
96,6.45040395240824,46.2364615339122,0,0,0,0
97,4.69231848942968,49.097049656243,0,0,0,0
98,5.65827068817828,30.0975826857542,0,0,0,0
99,5.64199771924484,819.491029784488,0,0,0,0
100,5.50876840684032,16.4322207732218,0,0,0,0
101,5.31649509542297,36.1547379885298,0,0,0,0
102,5.12626636551749,16.6700016955933,0,0,0,0
103,5.77949535056234,303.062399962249,0,0,0,0
104,5.76346194778978,16.586825790796,0,0,0,0
105,5.75912343468917,11.7977499127087,0,0,0,0
106,4.84660670879293,12.3104022555737,0,0,0,0
107,5.28493589015022,22.4798411385571,0,0,0,0
108,5.2784806713579,22.9548217482667,0,0,0,0
109,6.33155121793902,146932590668.938,0,0,0,0
110,6.33155115486261,57.347289352166,0,0,0,0
111,5.58412722593505,323.294061977467,0,0,0,0
112,5.48303652063021,17.9308701341217,0,0,0,0
113,6.12544240507054,85.8806295362548,0,0,0,0
114,4.71210677759132,14.4328351008535,0,0,0,0
115,5.28494510666974,12.4126818100378,0,0,0,0
116,5.57492620321261,22.6257995395874,0,0,0,0
117,5.47206650747466,98.5167892775308,0,0,0,0
118,4.86788509025257,25.3067544504459,0,0,0,0
119,5.64203459493592,40.306361645559,0,0,0,0
120,5.30425604279583,17.6749278671261,0,0,0,0
121,5.71767047077299,51.3927318515931,0,0,0,0
122,5.45275104720031,15.9841431782371,0,0,0,0
123,5.88723144112532,23.4366531103059,0,0,0,0
